"Observation","36 No prisoner scores TX","36 Women prisonersTX","36 Non prisoner scores SC","36 Women SC (before special training)∗","36 Women SC(with,special,training)∗"
1,81,93,89,83,85
2,67,68,58,75,76
3,79,72,65,84,87
4,83,84,67,90,92
5,64,77,92,66,67
6,68,85,80,68,71
7,64,63,73,72,73
8,90,87,80,96,98
9,80,91,79,84,85
10,85,71,85,91,94
11,69,101,73,75,77
12,61,82,57,62,64
13,86,93,81,89,90
14,81,81,83,86,89
15,70,76,67,72,73
16,79,90,78,82,84
17,73,78,74,78,80
18,81,73,76,84,85
19,68,81,68,73,76
20,87,77,82,89,91
21,70,80,71,77,79
22,61,62,61,64,65
23,78,85,83,85,87
24,76,84,78,80,81
25,80,83,76,82,84
26,70,77,75,76,79
27,87,83,88,90,93
28,72,87,71,74,75
29,71,76,69,71,74
30,80,68,77,80,83
31,82,90,86,88,89
32,72,93,73,76,78
33,68,75,69,70,72
34,90,73,90,91,93
35,72,84,76,78,81
36,60,70,63,66,68